0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1,1,1,1,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,5,3,88,85,92,89,85
1,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,1,0,1,1,0,0,0,0,1,7,0,93,96,72,90,74
1,1,0,0,0,0,0,1,0,0,1,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,1,4,1,81,70,60,87,74
1,1,1,0,1,1,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0,1,0,0,1,0,4,1,87,68,62,88,86
1,0,1,1,1,0,0,1,1,0,0,0,0,3,1,0,0,0,0,1,1,1,0,1,0,0,0,5,2,93,72,71,95,91
1,1,1,1,1,0,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,4,1,80,73,97,82,98
1,1,1,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,7,3,81,78,90,91,71
0,1,1,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,1,6,2,87,74,69,92,85
1,1,1,1,1,0,0,1,0,0,0,1,0,4,0,0,1,1,0,0,1,1,1,0,0,0,0,7,0,80,63,87,99,87
1,1,1,1,0,1,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,7,0,81,90,69,83,71
0,1,1,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,6,3,89,90,82,97,93
1,0,0,1,1,0,0,1,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,7,2,80,86,98,84,74
1,1,1,1,0,0,0,0,1,1,1,1,0,4,1,0,0,1,1,0,0,0,0,0,1,0,0,4,1,80,67,83,84,74
1,1,1,0,1,1,1,0,0,0,0,0,1,4,0,0,1,0,1,1,0,0,0,1,0,0,1,4,0,91,89,76,99,72
0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,4,1,81,95,97,83,87
1,1,1,0,0,0,0,1,1,0,0,0,0,4,0,1,0,0,0,1,0,0,1,1,0,1,0,7,2,85,76,87,80,72
1,1,1,1,1,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,1,0,1,0,7,2,87,79,94,99,98
0,1,1,0,0,0,1,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,1,6,1,80,61,81,84,95
1,1,1,1,0,1,0,0,0,0,1,0,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,7,0,88,97,80,81,76
0,1,1,1,0,1,0,0,0,1,1,0,0,4,0,1,1,0,0,0,0,1,0,1,0,0,0,5,0,79,80,91,80,77
1,1,1,1,0,1,0,0,0,1,0,0,1,4,1,0,0,0,0,0,1,0,1,1,0,1,1,5,0,99,82,69,88,98
1,1,1,1,0,0,0,1,0,0,0,0,0,3,1,1,0,0,1,1,1,0,0,0,1,0,0,5,1,88,67,97,85,95
1,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,0,0,1,1,1,0,1,7,2,89,64,81,88,98
1,1,1,1,1,0,0,1,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,0,1,0,1,5,2,78,86,67,94,97
1,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,1,0,0,1,0,0,7,0,87,87,85,81,95
1,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,1,1,1,1,6,2,99,76,73,88,76
1,1,1,1,0,1,0,1,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,7,0,87,96,95,91,75
1,1,1,0,0,0,0,1,0,0,0,0,0,4,0,0,1,1,1,1,0,0,0,1,1,1,0,4,0,83,63,81,93,94
1,1,1,0,1,1,0,0,0,1,0,0,1,3,1,0,0,0,0,1,1,1,0,0,1,0,0,4,0,78,74,87,92,76
0,1,1,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1,1,0,1,1,0,5,3,96,78,66,97,75
1,1,1,0,1,0,1,0,1,0,0,0,1,3,0,0,1,1,0,0,1,1,1,0,1,1,0,5,0,77,96,99,87,95
1,1,1,1,0,1,0,0,0,1,1,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,6,2,93,94,64,83,76
1,1,1,1,1,0,0,1,1,0,1,0,0,3,0,0,1,1,1,1,1,0,1,0,0,0,0,5,1,91,83,93,90,76
1,0,1,0,0,0,0,0,1,0,0,0,1,4,1,0,0,1,0,0,1,0,0,0,0,0,1,5,3,91,92,61,86,96
1,0,1,0,0,1,0,1,0,0,0,0,1,4,0,1,0,1,1,1,0,0,1,1,0,0,0,6,3,79,88,66,97,85
1,1,1,1,1,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,1,0,1,0,0,0,7,0,99,82,93,85,78
1,0,1,1,1,0,0,0,1,1,1,1,0,3,0,1,0,1,1,0,0,0,1,0,0,0,0,5,3,94,84,82,98,81
0,0,1,1,0,0,0,0,1,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,77,95,71,93,86
1,1,1,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,1,0,1,0,5,3,82,80,74,87,70
1,1,0,1,1,1,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,6,1,87,71,62,85,72
1,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,1,0,0,1,1,6,3,89,98,88,97,88
1,0,1,1,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,6,3,81,64,78,82,88
0,1,1,0,1,0,0,0,0,0,1,0,0,4,0,1,0,0,1,0,0,0,1,1,1,0,0,6,2,75,61,79,94,92
1,1,1,1,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,1,1,0,0,0,0,0,0,4,3,78,80,78,97,79
1,1,1,1,0,1,0,0,0,0,1,0,0,3,1,0,0,0,1,0,1,1,0,0,1,1,0,5,3,77,63,96,97,97
0,1,1,1,1,1,0,0,0,0,0,1,0,3,0,0,1,0,1,1,0,0,0,0,1,0,1,6,0,77,86,74,85,92
1,1,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,7,2,98,84,63,98,70
1,1,1,1,0,0,0,0,0,1,1,1,0,4,0,1,0,0,0,1,1,0,0,0,0,0,0,4,1,98,69,87,91,75
1,1,1,1,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,81,89,88,90,75
1,1,1,1,1,1,1,0,0,0,1,0,1,3,0,1,0,1,1,0,0,0,0,0,0,1,0,4,0,91,94,99,82,90
1,1,1,1,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,98,67,60,89,99
1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,99,63,77,90,80
0,1,1,1,0,1,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,6,2,96,85,76,81,87
1,1,1,1,1,1,0,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,1,0,0,1,1,5,0,88,68,72,85,98
1,1,1,1,1,0,0,0,1,0,0,0,1,3,1,0,0,1,0,0,1,1,0,0,1,1,0,7,3,78,69,98,94,94
0,1,1,1,0,0,0,1,0,0,1,1,0,4,0,0,0,1,0,0,0,0,0,0,1,1,0,6,2,76,88,68,85,98
1,1,1,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,75,75,68,85,77
1,1,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,7,3,87,62,63,94,80
1,0,1,1,0,0,1,1,1,0,1,0,0,4,0,1,0,1,0,1,1,0,1,1,0,1,1,5,3,85,94,75,80,89
1,1,1,1,1,1,0,0,0,0,1,0,0,4,1,1,0,1,0,1,1,0,0,1,1,0,0,5,2,86,72,67,87,78
1,0,1,1,1,0,0,0,0,0,1,0,0,4,0,0,1,1,1,1,1,0,1,0,1,1,1,7,3,95,80,68,88,71
0,0,1,0,1,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,0,0,1,0,0,6,0,96,88,83,90,79
1,1,1,1,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,1,0,1,1,0,1,4,2,91,68,85,86,99
1,1,1,1,1,1,0,1,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,7,3,84,76,64,87,74
1,1,1,0,0,0,1,1,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,1,0,0,1,5,1,98,90,84,90,70
0,0,1,0,0,0,1,1,0,1,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,7,3,84,74,94,82,72
1,1,1,1,1,0,0,0,0,0,0,1,1,3,1,1,0,0,1,0,0,0,0,0,1,1,0,7,0,82,68,79,97,73
1,1,1,0,1,0,0,0,0,1,0,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,6,3,88,60,85,92,94
1,0,1,1,1,0,0,0,1,0,0,0,0,3,0,0,1,1,1,0,0,0,0,1,0,1,0,7,1,92,63,95,90,75
1,0,1,1,0,0,0,1,0,0,0,1,0,4,0,1,0,0,0,0,0,0,1,0,0,1,1,4,2,85,87,93,90,96
1,1,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,7,2,89,99,83,86,92
0,1,1,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,1,0,0,0,0,0,0,6,1,96,67,93,98,73
1,0,1,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,99,88,85,93,76
1,0,1,1,1,0,1,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0,1,1,0,1,1,5,0,91,83,71,81,98
1,1,1,0,0,0,0,1,1,0,0,0,0,4,0,0,0,1,1,0,0,0,0,1,0,0,0,5,2,79,71,96,81,82
1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,1,0,0,0,1,0,0,6,2,82,81,98,94,86
1,1,1,1,1,0,0,0,0,1,1,0,1,3,0,0,0,1,0,0,0,1,1,0,0,1,0,4,2,85,72,71,96,98
1,1,1,1,0,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,0,1,0,1,1,0,0,5,2,75,62,65,88,85
1,0,1,1,1,0,0,1,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,1,7,1,80,61,70,95,96
1,1,1,0,1,0,0,0,0,1,1,0,1,3,0,1,1,1,1,0,0,0,0,0,1,0,0,4,0,92,78,79,92,76
1,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,1,7,2,85,67,70,84,89
1,0,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,1,0,5,2,77,85,74,81,78
0,1,1,0,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,1,1,1,0,0,0,1,0,4,1,78,68,76,80,81
1,1,1,1,1,0,0,0,0,0,1,1,0,4,1,0,0,0,0,0,1,0,0,0,1,0,0,7,2,98,95,95,96,97
1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,1,0,1,0,1,5,1,89,87,81,82,84
1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,1,0,0,1,0,7,3,82,67,78,88,86
1,1,1,0,0,1,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,7,2,95,70,90,82,92
0,1,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,1,1,0,0,0,0,1,0,1,1,7,3,89,68,90,89,82
1,1,1,1,0,1,1,1,0,0,0,0,0,4,0,0,0,1,1,1,1,0,1,0,0,0,0,6,0,88,94,73,92,92
1,1,1,1,0,1,0,0,0,1,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,1,0,5,0,85,66,87,81,87
1,1,1,0,1,1,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,1,0,0,1,4,3,87,67,60,98,88
1,1,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,91,96,89,89,94
1,1,1,1,1,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,1,1,1,1,0,1,1,4,0,78,72,82,85,75
