0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,1,0,1,0,1,0,0,0,0,1,1,1,4,0,0,0,1,1,0,0,1,1,1,0,1,1,7,1,85,65,91,98,87,2
1,1,1,0,0,0,0,1,0,0,0,0,0,3,1,0,1,1,1,1,0,0,1,1,0,1,0,7,1,72,65,95,91,86,2
1,1,0,0,0,0,1,1,0,0,0,1,0,4,0,0,1,0,0,0,1,0,0,1,1,1,1,6,2,70,90,86,70,72,3
1,1,1,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,1,0,0,1,1,0,1,0,5,0,77,90,66,96,82,0
0,1,0,0,0,0,0,1,0,1,1,1,1,3,1,1,0,0,1,0,0,0,0,0,0,0,1,5,3,67,91,97,73,90,1
1,0,1,1,1,0,0,0,1,0,0,1,1,3,0,0,1,1,1,1,0,1,1,1,1,0,0,4,2,84,71,82,92,83,0
0,1,1,0,1,1,0,0,1,0,0,0,0,4,0,0,0,1,1,1,1,0,1,1,0,0,1,4,1,94,94,66,92,72,0
0,0,0,0,1,1,1,0,1,0,0,0,0,3,0,1,0,0,1,1,0,0,1,0,1,1,1,7,1,74,82,88,69,78,3
1,1,1,1,1,1,0,0,0,1,0,0,1,4,0,0,0,1,0,1,1,0,1,0,0,1,0,4,2,76,86,76,93,89,2
0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,1,0,1,1,1,1,1,1,1,0,1,7,3,79,98,98,80,73,3
1,1,1,1,1,0,0,0,0,0,1,0,0,4,0,0,1,1,1,1,0,1,1,1,1,0,1,5,0,77,66,96,87,76,0
0,0,0,0,0,0,1,1,1,0,0,0,0,3,1,0,0,0,1,1,1,1,1,1,0,1,1,5,0,64,74,71,65,72,3
0,1,1,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,1,0,0,1,0,1,1,1,7,1,93,60,64,81,89,0
0,0,0,0,0,1,1,1,0,1,0,1,0,4,1,1,0,0,1,1,1,0,1,1,1,0,0,7,2,59,87,78,74,86,3
1,1,1,1,0,0,0,0,0,0,1,0,0,3,1,0,1,1,0,1,0,0,0,1,1,0,1,6,2,67,99,95,89,92,2
1,1,0,1,0,1,1,0,1,0,1,1,0,3,1,1,0,1,1,0,1,1,0,1,0,1,1,7,1,82,79,64,68,79,3
0,1,1,0,0,0,0,1,0,0,0,1,1,3,1,0,0,1,1,1,1,1,0,1,1,1,1,6,3,87,87,90,73,80,1
1,1,0,0,1,1,0,1,0,0,0,0,0,3,0,0,1,1,1,1,0,0,1,1,1,0,1,6,3,80,79,99,84,89,0
0,0,0,1,0,1,1,0,1,0,0,0,0,4,1,0,0,0,0,0,1,0,1,0,1,0,0,5,3,55,96,72,76,84,3
0,0,0,0,1,0,1,1,1,0,0,0,1,4,1,1,0,1,0,0,1,0,0,1,1,1,1,5,1,81,97,82,64,71,3
1,0,1,1,1,1,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,1,1,1,0,1,7,2,89,89,89,99,98,2
1,1,1,0,0,0,0,0,0,1,0,0,0,4,1,1,1,0,0,1,0,1,1,0,0,1,0,5,2,87,72,90,85,98,0
0,0,0,0,0,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,1,1,1,1,1,1,1,6,1,68,97,76,72,86,3
1,1,0,1,0,0,0,0,0,0,0,0,1,4,0,0,1,1,1,1,0,0,1,1,0,1,0,5,3,85,74,71,92,84,2
0,1,0,0,0,0,0,0,0,1,0,1,1,3,1,1,0,1,0,0,0,1,0,0,0,1,1,4,3,73,87,70,89,86,1
0,0,0,0,1,0,0,1,1,0,0,1,0,4,1,0,0,0,0,0,1,1,0,1,0,0,1,4,3,89,93,93,83,95,1
1,1,1,1,1,0,0,0,0,0,0,0,0,3,0,1,1,1,1,1,0,0,1,0,0,1,1,4,0,78,81,77,85,77,0
0,0,0,0,0,1,1,1,1,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,5,1,60,77,67,85,86,3
1,0,1,0,1,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,0,0,1,0,1,0,1,5,2,88,67,83,88,97,0
1,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,1,1,1,1,0,1,1,0,0,7,0,77,88,70,85,74,0
1,1,1,0,0,1,0,1,0,0,0,1,0,3,0,0,1,1,1,1,0,0,1,1,1,0,0,5,0,85,74,94,98,71,0
1,1,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,0,0,1,4,0,89,76,65,90,87,2
1,1,0,1,1,0,0,0,0,0,0,0,0,4,0,1,1,1,1,1,0,0,1,0,0,1,1,4,1,96,71,62,87,81,2
1,1,0,1,1,0,0,0,0,0,1,0,0,3,0,1,1,1,1,1,1,0,1,1,1,0,1,6,0,72,76,94,91,75,2
1,0,1,0,0,1,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,1,1,1,0,0,0,6,3,83,82,92,96,93,0
1,1,1,1,0,0,0,0,0,1,0,0,0,3,1,0,1,1,1,1,0,1,1,1,1,0,1,4,0,94,92,74,96,77,2
1,1,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0,1,1,1,0,0,1,1,0,0,1,5,2,76,67,82,86,78,0
1,0,0,0,0,1,0,1,0,1,0,1,1,4,0,0,0,0,0,0,0,1,0,1,0,1,1,7,0,86,97,95,74,92,1
1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,1,0,0,0,1,0,0,1,1,7,3,66,70,97,89,94,2
1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,1,1,0,0,1,4,1,83,74,80,89,92,2
0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,1,1,0,7,0,71,87,76,81,94,1
0,0,0,0,0,0,1,1,1,0,0,1,1,3,1,1,1,1,1,0,1,0,0,0,1,0,1,7,1,74,94,71,84,96,1
0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,1,0,1,0,0,1,1,0,1,0,1,6,0,75,82,78,71,81,1
0,1,1,1,0,1,0,0,1,0,0,0,0,3,1,1,1,1,1,1,1,0,1,0,0,0,1,6,1,98,73,62,98,91,2
0,0,0,1,0,0,1,1,1,0,0,0,1,4,0,0,0,0,1,1,1,1,1,1,0,1,1,7,3,73,85,86,81,82,3
1,1,1,1,1,0,0,0,0,0,0,0,0,3,1,0,1,1,1,1,0,0,1,1,0,0,1,4,3,69,75,61,93,88,2
0,1,0,1,1,0,0,0,0,0,1,0,1,4,0,1,1,1,1,1,0,0,1,1,0,0,1,5,3,79,69,70,93,97,2
1,0,1,1,1,0,0,0,0,0,0,1,0,3,0,1,1,1,1,0,0,0,1,1,1,0,1,7,1,90,64,60,96,88,0
1,1,0,1,1,0,0,0,0,0,1,0,0,4,0,1,1,1,1,0,0,0,1,1,0,0,1,7,1,68,66,97,89,76,2
0,0,1,0,0,0,0,1,1,1,0,1,1,3,0,0,0,1,1,0,0,0,1,0,1,0,1,7,3,68,82,84,63,83,1
